10.71.247.120/29
10.71.247.136/29
10.17.227.104/29
94.201.10.80/28
10.17.227.112/28
10.71.247.104/29
10.71.247.16/28
10.17.227.248/29
10.71.247.144/28
10.71.247.160/28
10.71.241.216/29
10.17.228.104/29
10.71.247.176/28
10.17.228.16/29
10.17.226.64/28
10.77.181.128/25
10.77.201.64/26
10.94.60.0/29
10.17.227.16/28
192.168.111.0/24
10.0.1.0/28
10.2.0.0/19
10.2.32.0/19
10.2.64.0/19
10.2.96.0/19
10.2.128.0/19
10.2.160.0/19
10.2.192.0/24
10.2.193.0/24
10.11.28.128/29
10.11.31.0/29
10.11.31.8/29
10.11.136.0/24
10.11.138.0/23
10.11.244.128/29
10.12.84.0/22
10.12.88.0/22
10.12.92.0/23
10.12.128.0/28
10.12.128.20/30
10.12.128.36/30
10.12.128.40/29
10.12.128.48/28
10.12.128.80/29
10.12.128.96/29
10.12.128.112/29
10.12.128.120/29
10.12.128.128/29
10.12.128.136/29
10.12.128.144/29
10.12.128.156/30
10.12.128.168/30
10.12.128.188/30
10.12.128.192/29
10.12.128.200/29
10.12.128.208/29
10.12.128.216/30
10.12.128.236/30
10.12.129.28/30
10.12.129.32/29
10.12.129.56/29
10.12.129.64/28
10.12.129.88/29
10.12.129.128/29
10.12.129.148/30
10.12.129.180/30
10.12.129.184/29
10.12.129.192/29
10.12.129.200/29
10.12.129.212/30
10.12.129.216/29
10.12.129.224/28
10.12.129.240/30
10.12.129.248/29
10.12.130.8/29
10.12.130.24/30
10.12.130.28/30
10.12.130.32/28
10.12.130.64/29
10.12.130.80/28
10.12.130.96/28
10.12.130.112/30
10.12.130.116/30
10.12.130.132/30
10.12.130.144/29
10.12.130.152/30
10.12.130.156/30
10.12.130.168/29
10.12.130.176/30
10.12.130.184/29
10.12.130.192/29
10.12.130.208/28
10.12.130.232/30
10.12.130.236/30
10.12.130.244/30
10.12.130.248/30
10.12.130.252/30
10.12.131.0/28
10.12.131.20/30
10.12.131.24/30
10.12.131.48/30
10.12.131.52/30
10.12.131.56/29
10.12.131.64/29
10.12.131.80/29
10.12.131.88/29
10.12.131.96/30
10.12.131.140/30
10.12.131.148/30
10.12.131.168/30
10.12.131.172/30
10.12.131.180/30
10.12.131.184/30
10.12.131.196/30
10.12.131.200/30
10.12.131.204/30
10.12.131.208/29
10.12.131.216/29
10.12.131.224/29
10.12.131.232/29
10.12.131.240/29
10.12.131.248/29
10.12.134.0/29
10.12.144.0/23
10.12.146.0/23
10.12.148.8/30
10.12.148.12/30
10.12.148.16/29
10.12.148.32/29
10.12.148.48/29
10.12.148.56/29
10.12.148.64/29
10.12.148.104/29
10.12.148.112/29
10.12.148.152/29
10.12.148.168/29
10.12.148.176/29
10.12.148.184/29
